date,store_id,test_drives,sales,revenue
2025-11-28,1,3,1,26205.46
2025-11-28,2,1,0,0.0
2025-11-28,3,3,1,24518.32
2025-11-28,4,1,0,0.0
2025-11-29,1,4,1,22578.8
2025-11-29,2,2,0,0.0
2025-11-29,3,4,1,24677.9
2025-11-29,4,2,0,0.0
2025-11-30,1,3,1,23429.05
2025-11-30,2,3,0,0.0
2025-11-30,3,5,1,25798.35
2025-11-30,4,2,0,0.0
2025-12-01,1,3,0,0.0
2025-12-01,2,4,1,21596.44
2025-12-01,3,5,1,25317.13
2025-12-01,4,1,0,0.0
2025-12-02,1,3,1,26051.52
2025-12-02,2,3,0,0.0
2025-12-02,3,6,2,48607.2
2025-12-02,4,3,0,0.0
2025-12-03,1,2,0,0.0
2025-12-03,2,3,0,0.0
2025-12-03,3,3,1,28243.41
2025-12-03,4,2,0,0.0
2025-12-04,1,3,0,0.0
2025-12-04,2,2,0,0.0
2025-12-04,3,6,1,26185.59
2025-12-04,4,3,0,0.0
2025-12-05,1,4,1,23891.84
2025-12-05,2,2,0,0.0
2025-12-05,3,6,2,49108.84
2025-12-05,4,3,0,0.0
2025-12-06,1,6,1,24793.43
2025-12-06,2,2,0,0.0
2025-12-06,3,3,1,26341.56
2025-12-06,4,2,0,0.0
2025-12-07,1,6,1,23196.74
2025-12-07,2,4,1,23308.62
2025-12-07,3,3,1,27395.42
2025-12-07,4,1,0,0.0
2025-12-08,1,4,1,26028.52
2025-12-08,2,2,0,0.0
2025-12-08,3,3,0,0.0
2025-12-08,4,2,0,0.0
2025-12-09,1,6,2,52925.71
2025-12-09,2,4,1,23254.45
2025-12-09,3,3,0,0.0
2025-12-09,4,3,0,0.0
2025-12-10,1,5,1,26456.38
2025-12-10,2,5,1,22353.5
2025-12-10,3,3,1,24528.63
2025-12-10,4,3,0,0.0
2025-12-11,1,4,1,25195.46
2025-12-11,2,2,0,0.0
2025-12-11,3,4,1,27629.54
2025-12-11,4,3,0,0.0
2025-12-12,1,4,1,23837.2
2025-12-12,2,3,1,23052.1
2025-12-12,3,6,2,47625.53
2025-12-12,4,2,0,0.0
2025-12-13,1,2,0,0.0
2025-12-13,2,4,1,25160.36
2025-12-13,3,6,2,55475.46
2025-12-13,4,3,0,0.0
2025-12-14,1,1,0,0.0
2025-12-14,2,5,1,21854.11
2025-12-14,3,5,1,26951.8
2025-12-14,4,4,0,0.0
2025-12-15,1,2,0,0.0
2025-12-15,2,2,0,0.0
2025-12-15,3,3,0,0.0
2025-12-15,4,1,0,0.0
2025-12-16,1,3,0,0.0
2025-12-16,2,2,0,0.0
2025-12-16,3,2,0,0.0
2025-12-16,4,2,0,0.0
2025-12-17,1,3,1,23154.31
2025-12-17,2,3,0,0.0
2025-12-17,3,4,1,23842.6
2025-12-17,4,1,0,0.0
2025-12-18,1,4,1,26099.08
2025-12-18,2,3,0,0.0
2025-12-18,3,6,1,27150.58
2025-12-18,4,2,0,0.0
2025-12-19,1,3,0,0.0
2025-12-19,2,2,0,0.0
2025-12-19,3,2,0,0.0
2025-12-19,4,1,0,0.0
2025-12-20,1,5,1,25226.63
2025-12-20,2,1,0,0.0
2025-12-20,3,5,1,25767.07
2025-12-20,4,2,0,0.0
2025-12-21,1,6,1,26908.41
2025-12-21,2,2,0,0.0
2025-12-21,3,5,1,24356.4
2025-12-21,4,2,0,0.0
2025-12-22,1,2,0,0.0
2025-12-22,2,2,0,0.0
2025-12-22,3,3,1,26544.99
2025-12-22,4,2,0,0.0
2025-12-23,1,2,0,0.0
2025-12-23,2,3,0,0.0
2025-12-23,3,3,0,0.0
2025-12-23,4,3,0,0.0
2025-12-24,1,4,1,24483.99
2025-12-24,2,2,0,0.0
2025-12-24,3,3,0,0.0
2025-12-24,4,1,0,0.0
2025-12-25,1,2,0,0.0
2025-12-25,2,3,0,0.0
2025-12-25,3,4,1,24119.67
2025-12-25,4,1,0,0.0
2025-12-26,1,5,1,26674.72
2025-12-26,2,2,0,0.0
2025-12-26,3,3,0,0.0
2025-12-26,4,2,0,0.0
2025-12-27,1,3,1,24129.12
2025-12-27,2,2,0,0.0
2025-12-27,3,4,1,24048.45
2025-12-27,4,2,0,0.0
2025-12-28,1,3,1,23520.43
2025-12-28,2,2,0,0.0
2025-12-28,3,5,1,25905.12
2025-12-28,4,1,0,0.0
2025-12-29,1,4,1,23598.51
2025-12-29,2,3,0,0.0
2025-12-29,3,6,2,56665.21
2025-12-29,4,1,0,0.0
2025-12-30,1,4,1,24041.16
2025-12-30,2,3,0,0.0
2025-12-30,3,3,1,27678.45
2025-12-30,4,1,0,0.0
2025-12-31,1,5,1,22561.19
2025-12-31,2,3,0,0.0
2025-12-31,3,4,1,26251.07
2025-12-31,4,3,0,0.0
2026-01-01,1,3,0,0.0
2026-01-01,2,2,0,0.0
2026-01-01,3,6,1,24776.61
2026-01-01,4,3,0,0.0
2026-01-02,1,3,0,0.0
2026-01-02,2,3,0,0.0
2026-01-02,3,3,0,0.0
2026-01-02,4,1,0,0.0
2026-01-03,1,3,0,0.0
2026-01-03,2,2,0,0.0
2026-01-03,3,4,1,25448.26
2026-01-03,4,3,0,0.0
2026-01-04,1,4,1,23021.5
2026-01-04,2,4,1,23612.13
2026-01-04,3,6,1,24798.89
2026-01-04,4,3,0,0.0
2026-01-05,1,3,0,0.0
2026-01-05,2,3,0,0.0
2026-01-05,3,3,0,0.0
2026-01-05,4,2,0,0.0
2026-01-06,1,4,1,26699.17
2026-01-06,2,4,1,23357.02
2026-01-06,3,5,1,23909.2
2026-01-06,4,1,0,0.0
2026-01-07,1,5,1,25897.08
2026-01-07,2,3,0,0.0
2026-01-07,3,4,1,26329.81
2026-01-07,4,1,0,0.0
2026-01-08,1,5,1,25523.27
2026-01-08,2,2,0,0.0
2026-01-08,3,3,0,0.0
2026-01-08,4,1,0,0.0
2026-01-09,1,4,1,25279.56
2026-01-09,2,4,1,23075.72
2026-01-09,3,4,1,25200.76
2026-01-09,4,1,0,0.0
2026-01-10,1,4,1,23131.74
2026-01-10,2,2,0,0.0
2026-01-10,3,5,1,27317.41
2026-01-10,4,3,0,0.0
2026-01-11,1,3,0,0.0
2026-01-11,2,3,0,0.0
2026-01-11,3,6,1,27038.04
2026-01-11,4,3,0,0.0
2026-01-12,1,5,1,23731.46
2026-01-12,2,2,0,0.0
2026-01-12,3,2,0,0.0
2026-01-12,4,2,0,0.0
2026-01-13,1,3,0,0.0
2026-01-13,2,3,0,0.0
2026-01-13,3,4,1,24855.5
2026-01-13,4,3,0,0.0
2026-01-14,1,2,0,0.0
2026-01-14,2,2,0,0.0
2026-01-14,3,3,1,28373.24
2026-01-14,4,2,0,0.0
2026-01-15,1,3,1,24111.8
2026-01-15,2,1,0,0.0
2026-01-15,3,4,1,27542.29
2026-01-15,4,1,0,0.0
2026-01-16,1,4,1,24178.58
2026-01-16,2,4,1,21697.73
2026-01-16,3,3,0,0.0
2026-01-16,4,2,0,0.0
2026-01-17,1,5,1,26548.24
2026-01-17,2,3,0,0.0
2026-01-17,3,6,2,55532.22
2026-01-17,4,3,0,0.0
2026-01-18,1,3,0,0.0
2026-01-18,2,3,0,0.0
2026-01-18,3,4,1,24330.47
2026-01-18,4,2,0,0.0
2026-01-19,1,2,0,0.0
2026-01-19,2,2,0,0.0
2026-01-19,3,3,0,0.0
2026-01-19,4,3,0,0.0
2026-01-20,1,4,1,26318.62
2026-01-20,2,3,1,24578.33
2026-01-20,3,3,1,25172.25
2026-01-20,4,1,0,0.0
2026-01-21,1,2,0,0.0
2026-01-21,2,3,0,0.0
2026-01-21,3,3,1,27539.72
2026-01-21,4,1,0,0.0
2026-01-22,1,3,1,24284.59
2026-01-22,2,3,0,0.0
2026-01-22,3,4,1,26197.85
2026-01-22,4,1,0,0.0
2026-01-23,1,2,0,0.0
2026-01-23,2,3,1,23740.27
2026-01-23,3,3,0,0.0
2026-01-23,4,1,0,0.0
2026-01-24,1,3,1,26155.82
2026-01-24,2,2,0,0.0
2026-01-24,3,2,0,0.0
2026-01-24,4,2,0,0.0
2026-01-25,1,3,0,0.0
2026-01-25,2,2,0,0.0
2026-01-25,3,4,1,26059.91
2026-01-25,4,1,0,0.0
2026-01-26,1,5,1,26518.98
2026-01-26,2,1,0,0.0
2026-01-26,3,4,1,28360.24
2026-01-26,4,1,0,0.0
2026-01-27,1,5,1,25594.01
2026-01-27,2,3,0,0.0
2026-01-27,3,6,1,24714.14
2026-01-27,4,3,0,0.0
2026-01-28,1,4,1,23844.45
2026-01-28,2,3,0,0.0
2026-01-28,3,4,1,26281.31
2026-01-28,4,2,0,0.0
2026-01-29,1,3,1,24922.25
2026-01-29,2,2,0,0.0
2026-01-29,3,4,1,25991.9
2026-01-29,4,2,0,0.0
